inconsciente	a 1.0 7.375
redentor	a 3.5 0.125
avanzado	a 6.5 0.25
obstruido	a 0.0 1.0
divulgado	a 0.75 0.0
cuarto	a 0.375 0.0
canonico	a 0.75 0.75
engrillado	a 0.0 0.25
insonorizado	a 0.0 0.75
declarativo	a 0.375 0.0
suroriental	a 0.25 2.0
uniforme	a 0.625 0.875
desalentado	a 2.0 6.875
especial	a 1.0 2.5
republicano	a 0.0 0.375
nitido	a 3.0 0.0
genico	a 0.0 0.25
viviente	a 1.875 0.25
papista	a 3.0 1.0
mujeril	a 0.125 0.375
sobrecogido	a 1.5 1.625
acelular	a 0.0 1.0
desinflado	a 0.5 1.0
famelico	a 1.125 2.5
ceroso	a 0.75 0.375
narcotico	a 0.25 0.75
oxidado	a 0.0 2.625
encerado	a 0.0 0.25
nocturno	a 0.0 0.125
inafectado	a 1.125 0.625
adivinatorio	a 1.25 0.5
tumescente	a 0.0 2.5
bufon	a 1.875 1.125
cojo	a 0.25 2.0
subestandar	a 0.0 1.125
similar	a 0.75 0.5
fraudulento	a 0.125 2.875
colateral	a 0.125 0.75
desfigurado	a 0.625 1.875
lignificado	a 0.0 0.375
abrasador	a 2.625 5.125
demolido	a 0.0 0.375
digno	a 5.75 1.125
copioso	a 1.625 1.5
desensillado	a 0.0 0.375
brusco	a 2.5 4.125
desma�ado	a 0.5 6.25
pesta�eante	a 0.125 0.625
desmitificar	a 1.5 1.0
negro	a 1.25 11.0
pertinaz	a 1.25 5.75
sujetable	a 0.5 0.0
empaquetado	a 0.5 0.125
alternado	a 0.25 0.0
recogido	a 1.375 0.75
aprovechado	a 0.375 0.0
arisco	a 0.375 5.625
icoroso	a 0.25 0.75
puritano	a 4.375 1.5
resignado	a 1.125 1.0
probatorio	a 0.375 0.0
ahorrativo	a 0.25 0.0
contrarevolucionario	a 0.0 0.625
viejo	a 1.0 4.375
avispado	a 1.375 1.0
invalidado	a 0.0 0.5
compensado	a 2.25 0.0
chungo	a 0.75 5.25
adinerado	a 0.25 1.0
aerotransportado	a 0.125 0.0
rebanado	a 0.375 0.0
amalgamativo	a 0.0 0.625
acurrucado	a 0.125 1.0
divergente	a 0.0 0.25
pechugon	a 2.375 0.125
herculeo	a 0.625 0.625
humanitario	a 3.5 0.0
incalculable	a 1.25 4.5
septimo	a 0.75 0.0
marital	a 0.25 3.25
inverso	a 0.5 0.0
aprovechable	a 0.5 0.0
devastador	a 2.0 4.5
carnoso	a 1.25 2.25
impenetrable	a 1.5 0.375
constituyente	a 1.75 0.125
sabatico	a 0.5 0.125
pretencioso	a 0.625 2.625
veintisiete	a 0.375 0.125
transmitido	a 0.25 0.5
saprofito	a 0.125 0.0
deletereo	a 0.0 0.75
influyente	a 3.75 1.5
sexy	a 2.875 0.0
postumo	a 0.25 0.0
adventicio	a 0.0 0.75
comunal	a 0.0 0.5
elaborado	a 1.5 0.0
biciclico	a 0.25 0.0
velloso	a 0.0 1.5
ultraconservador	a 0.0 0.5
multicolor	a 1.375 1.5
inmodesto	a 0.375 1.0
congruente	a 0.625 0.0
desafinado	a 0.25 1.0
eminente	a 4.5 0.125
pectinado	a 0.25 0.0
alarmado	a 0.0 1.625
reciproco	a 0.375 0.5
diatonico	a 0.25 0.0
valioso	a 1.875 0.0
subartesiano	a 0.0 0.125
vigoroso	a 8.25 4.375
infectado	a 0.0 3.25
negroide	a 0.125 0.0
adenoidal	a 0.0 0.75
bimetalista	a 0.0 0.5
tripartito	a 0.5 0.125
amaestrado	a 0.25 0.0
disciplinario	a 1.25 0.5
abstemio	a 0.5 0.0
temporal	a 0.5 3.75
artesiano	a 0.375 0.125
vitalizante	a 3.625 0.5
chupado	a 3.25 0.75
deseoso	a 0.5 1.5
apto	a 5.0 1.0
concordante	a 0.25 0.75
trillonesimo	a 0.375 0.0
nauseabundo	a 0.625 6.5
aterciopelado	a 0.25 0.0
espurio	a 1.0 0.875
determinado	a 1.5 2.25
fertil	a 3.125 1.0
espiritual	a 1.25 1.125
inverosimil	a 2.25 3.75
soleado	a 1.5 0.875
equivalente	a 1.375 0.625
butiraceo	a 0.25 0.25
sonante	a 0.25 0.0
goteado	a 0.0 0.125
futil	a 1.375 2.75
conocido	a 4.25 0.25
autosatisfecho	a 0.25 0.375
luxurioso	a 0.0 3.375
apuesto	a 2.625 0.625
vestigial	a 0.0 1.5
cautivador	a 6.25 0.0
podrido	a 0.8 9.95
expedicionario	a 0.125 0.0
informal	a 0.375 6.375
pectineo	a 0.25 0.0
cereo	a 0.75 0.375
reparado	a 0.75 0.75
municipal	a 0.0 1.0
desapasionado	a 0.75 0.375
sujeto	a 0.0 2.125
bicolor	a 0.0 3.0
adscrito	a 0.25 0.0
fechable	a 0.25 0.0
perjudicial	a 1.9860001 10.764
pifiado	a 0.0 1.5
significante	a 1.5 0.75
negro-amarronado	a 0.0 0.125
arrepentido	a 0.0 5.125
incondicionado	a 0.625 0.125
convexo	a 0.0 0.75
octosilabico	a 0.25 0.25
exoenergetico	a 0.125 0.0
denigratorio	a 0.0 7.875
discrecional	a 0.0 0.25
irreducible	a 0.0 0.625
intrinseco	a 3.25 0.25
putrefacto	a 0.8 4.95
substractivo	a 0.25 0.0
pastel	a 0.125 0.25
parco	a 0.25 1.0
normativo	a 0.75 0.0
desbordado	a 2.375 0.375
endemico	a 1.75 0.5
bestia	a 0.5 2.0
magnifico	a 19.375 1.875
encogido	a 0.25 0.375
revolucionario	a 0.5 0.125
cuadriculado	a 0.125 0.0
silabeado	a 0.0 0.125
centrista	a 0.25 0.0
alegrado	a 1.0 0.25
deducible	a 0.25 0.625
horneado	a 0.0 0.25
caido	a 0.0 1.5
graduado	a 2.875 0.625
fotosensible	a 0.0 0.125
fatal	a 0.375 9.0
descubierto	a 2.0 3.125
disfemistico	a 0.0 1.5
fastidiado	a 0.0 5.625
emancipador	a 0.75 0.125
salaz	a 1.75 4.125
ceramico	a 0.125 0.25
colectivista	a 0.375 0.375
discutible	a 2.5 2.75
fastidioso	a 0.5 11.375
privado	a 0.875 1.0
bloqueado	a 0.0 2.375
argentifero	a 0.375 0.125
indeciso	a 1.75 6.875
referencial	a 0.25 0.0
fortalecedor	a 2.625 0.625
ondeado	a 0.0 0.5
vanidoso	a 0.25 4.0
complejo	a 0.125 2.625
esteril	a 2.25 5.375
sistemico	a 0.125 0.0
resuelto	a 6.5 1.0
simplificado	a 1.25 0.25
globoso	a 0.625 0.375
geometrico	a 0.5 0.5
difamador	a 0.0 7.875
espasmodico	a 0.25 4.875
aerobio	a 2.0 0.0
asombrado	a 0.5 0.625
imaginativo	a 1.375 0.0
acustico	a 0.375 0.25
defensor	a 0.5 0.0
aristotelico	a 0.0 0.75
inmotivado	a 0.0 1.5
inharmonico	a 0.125 1.0
considerable	a 5.875 1.25
conforme	a 5.125 1.0
ridiculo	a 6.125 5.75
catenular	a 0.0 0.25
maximo	a 2.875 0.5
impavido	a 1.5 0.0
distante	a 1.875 4.625
alejado	a 0.75 0.0
encalmado	a 0.0 0.375
dominado	a 1.375 1.0
hostil	a 0.0 3.0
obsesionado	a 1.875 1.125
emergente	a 0.875 0.625
braquiptero	a 1.0 0.0
infatigable	a 2.375 1.5
idealizado	a 1.75 0.0
coetaneo	a 0.5 0.0
transplantable	a 0.625 0.0
sicotico	a 0.0 0.75
corrupto	a 1.166 3.959
eufonico	a 2.5 0.5
involucrado	a 0.5 1.375
polimorfico	a 0.25 0.0
pasmoso	a 1.625 0.125
granitico	a 0.0 1.5
termal	a 1.25 0.125
poiquilotermo	a 0.0 2.5
interno	a 3.125 1.25
perfunctorio	a 0.125 0.75
remirado	a 0.625 0.0
socarron	a 6.875 1.25
trepador	a 0.125 0.0
treceavo	a 0.5 0.0
arcangelical	a 0.5 0.0
conciliador	a 0.5 0.25
michelangeles	a 0.5 0.0
remediador	a 4.5 0.375
alicuota	a 0.125 0.125
pseudonimo	a 0.25 0.5
floral	a 0.25 0.0
aurifero	a 0.0 0.125
practicable	a 2.0 0.0
liberador	a 0.75 0.125
desindustrializado	a 0.0 1.25
dolorido	a 2.125 4.75
parsimonioso	a 0.0 0.75
subordinante	a 0.0 0.25
borrascoso	a 0.25 1.25
ginandromorfo	a 0.0 1.25
misantropo	a 0.0 1.0
neoliberal	a 0.375 0.0
vinoso	a 1.0 0.5
desintegrador	a 0.25 0.125
suelto	a 0.875 6.0
incorrecto	a 0.375 3.25
mejorado	a 2.0 0.25
genetico	a 0.625 0.625
sexista	a 0.0 0.125
incomerciable	a 0.75 1.875
lamentable	a 1.305 10.945
transformable	a 1.75 0.0
acueo	a 0.0 0.25
propenso	a 0.625 2.875
ostensivo	a 0.0 0.75
cuarentavo	a 0.75 0.0
calmante	a 2.375 2.875
declamatorio	a 0.625 1.625
huesudo	a 3.625 0.875
diafano	a 3.625 2.125
cicloidal	a 0.0 0.25
hundible	a 0.625 0.0
turbio	a 1.25 5.25
indecible	a 1.25 2.125
ultramontano	a 1.125 0.375
imprescindible	a 0.125 0.125
antonimo	a 0.75 0.0
triling�e	a 0.0 0.125
respingon	a 0.75 0.125
maniaco	a 0.25 1.875
indefinible	a 1.25 2.5
antidetonante	a 0.0 1.0
telepatico	a 0.0 0.125
obeso	a 1.0 1.0
canallesco	a 0.875 3.375
sacro	a 0.125 0.125
aleccionador	a 0.0 1.625
acostado	a 0.0 0.375
exogamico	a 0.5 0.25
quincentenario	a 0.75 0.0
interracial	a 1.125 0.25
presentable	a 0.375 0.0
retribuido	a 1.625 0.25
narrativo	a 0.125 0.25
apresurado	a 0.25 0.0
membranoso	a 0.0 0.375
escualido	a 3.5 2.25
funesto	a 0.875 7.375
arteriosclerotico	a 0.0 0.375
promulgado	a 0.5 0.0
diecinueveavo	a 0.25 0.0
intransferible	a 0.375 1.5
indivisible	a 0.0 1.125
aracnido	a 0.5 1.125
yermo	a 0.875 3.5
recuperativo	a 1.25 0.25
agudo	a 8.25 4.125
subconsciente	a 0.0 0.25
enmoquetado	a 0.0 0.375
bobo	a 1.875 3.5
suficiente	a 3.125 1.125
estimulador	a 1.0 0.0
alterable	a 0.375 0.375
farsante	a 0.0 1.0
desorganizado	a 0.0 0.125
rechoncho	a 1.375 3.0
panzudo	a 0.125 2.0
chapuzas	a 2.0 0.5
colerico	a 2.375 6.25
indeleble	a 0.25 0.5
continuado	a 0.5 0.625
edificante	a 1.25 0.0
pasajero	a 1.125 1.75
dextrorso	a 3.0 0.0
da�ino	a 0.375 7.0
isle�o	a 0.375 0.0
lavorable	a 2.5 0.0
anulado	a 0.5 0.5
sociable	a 1.875 0.75
19	a 0.375 0.25
enojoso	a 0.25 8.5
nupcial	a 2.25 0.0
consanguineo	a 0.875 0.5
anosmico	a 0.125 2.0
indecorosa	a 0.125 2.5
adornado	a 0.75 0.0
tenor	a 1.125 0.0
izquierdo	a 0.25 0.875
indignado	a 0.0 3.0
acentuado	a 1.0 1.75
celular	a 0.25 0.0
suertudo	a 0.75 0.0
frito	a 0.0 0.5
matrimonial	a 0.25 3.25
atrasado	a 0.25 1.625
condescendiente	a 2.75 0.625
da�oso	a 0.0 4.875
meteorico	a 0.0 0.125
inaguantable	a 0.875 5.0
irreprimible	a 0.5 0.5
zigomorfo	a 0.0 0.25
socializado	a 0.0 0.75
soez	a 2.0 4.75
chachi	a 9.0 0.125
lastimero	a 0.0 1.5
receloso	a 0.875 1.25
prestissimo	a 0.25 0.0
yanqui	a 0.125 0.5
pio	a 1.125 0.0
sindicado	a 1.125 0.5
separatista	a 0.75 0.25
partidario	a 1.75 0.0
fiel	a 8.525 0.725
da�ado	a 2.125 8.0
urbano	a 2.25 0.125
quintuple	a 0.25 0.0
desali�ado	a 1.0 8.75
rumiante	a 0.25 0.0
inerme	a 0.0 0.25
introspectivo	a 0.25 0.25
transalpino	a 0.75 0.25
lechero	a 0.25 0.0
dieciochoavo	a 0.75 0.0
eliminable	a 0.25 0.25
9	a 0.0 0.375
fascinador	a 2.5 0.0
albar	a 0.25 0.625
fortalecido	a 0.25 0.0
anglofobo	a 0.375 0.25
zumoso	a 0.0 0.375
trigonal	a 0.0 0.25
pinnado	a 0.5 0.0
tedioso	a 0.375 4.75
octavo	a 0.75 0.0
antifonario	a 0.625 0.75
opuesto	a 5.361 11.139
horrible	a 1.625 23.875
bimodal	a 0.125 0.0
soltero	a 0.0 2.125
provocador	a 1.75 2.875
anurico	a 0.0 0.5
vertebrado	a 0.25 0.0
curda	a 2.375 5.875
desmemoriado	a 0.375 0.125
larval	a 0.0 0.125
cursi	a 2.5 0.25
preparatorio	a 0.25 1.0
ambulante	a 0.125 1.25
acortado	a 0.25 1.375
presunto	a 1.0 0.375
pillo	a 0.375 1.5
subdito	a 0.0 1.375
bibliomaniaco	a 0.125 0.25
forrado	a 0.25 1.0
obliterado	a 0.0 0.25
indisoluble	a 0.25 1.0
angulado	a 0.375 0.0
personificado	a 0.75 0.5
antiaereo	a 0.5 0.0
congraciador	a 0.5 0.0
nombrado	a 1.0 0.625
ornamentado	a 0.375 0.125
irritable	a 1.0 10.625
rallentando	a 0.0 1.0
remediable	a 0.625 0.0
riguroso	a 1.208 6.667
salpicado	a 0.0 2.5
oxidativo	a 0.5 0.0
esencial	a 5.875 3.125
textual	a 0.125 0.375
diabatico	a 0.625 0.0
panegirico	a 0.5 0.0
bracteado	a 0.0 0.5
radiante	a 2.25 0.25
delicado	a 10.306 11.069
despiadado	a 2.375 9.625
exhaustivo	a 0.75 0.125
norte�o	a 0.375 0.0
escalofriante	a 1.125 7.0
ingravido	a 0.25 0.25
incitador	a 0.375 0.0
andante	a 0.125 0.125
griego	a 1.0 0.0
abstruso	a 1.625 0.75
20	a 0.0 0.5
negruzco	a 0.0 0.125
neurastenico	a 0.0 0.5
escultural	a 0.625 1.125
supositivo	a 1.5 0.75
diferenciado	a 1.125 0.25
ultimo	a 1.125 3.25
dispar	a 0.0 0.25
adagio	a 0.0 0.125
vitriolico	a 2.125 4.5
epifilico	a 0.0 1.0
ecumenico	a 2.0 1.0
abominable	a 0.875 6.0
pseudohermafrodita	a 0.0 0.75
jorobado	a 0.0 3.375
anoxemico	a 0.0 0.25
divisible	a 0.5 0.375
edematoso	a 0.0 1.5
apartado	a 3.125 2.25
abombado	a 0.0 1.0
morboso	a 0.5 2.5
extrajudicial	a 0.125 0.375
desbaratador	a 1.25 1.375
invulnerable	a 1.25 0.0
holografico	a 0.25 0.0
27	a 0.375 0.125
sarcastico	a 0.0 2.875
mendicante	a 0.125 0.0
calidoscopico	a 1.25 0.0
desobediente	a 0.25 2.25
sobrealimentado	a 0.875 0.25
politonal	a 0.25 0.0
multiple	a 0.5 1.375
veraz	a 1.375 0.875
acigos	a 0.0 1.0
sobrehumano	a 0.125 0.625
descarnado	a 3.25 0.75
caballeresco	a 0.75 0.875
infrasonico	a 0.375 0.0
profilactico	a 3.25 0.25
delgado	a 1.75 1.5
girado	a 0.0 0.5
bellaco	a 6.875 1.25
orientador	a 0.125 0.0
naturalista	a 1.625 0.875
condensado	a 1.0 1.375
instructivo	a 1.0 0.0
ablandado	a 2.0 0.0
pudiente	a 0.25 1.0
estrambotico	a 0.0 2.0
prevenido	a 0.25 0.0
plausible	a 2.375 0.125
hombruno	a 0.125 0.125
aditivo	a 0.0 0.375
dinamico	a 5.25 2.625
constante	a 8.125 4.5
heterosexual	a 0.125 0.0
consolable	a 0.125 0.0
imposible	a 1.0 5.0
bronceado	a 1.0 1.75
verificable	a 2.25 0.0
brut	a 0.0 0.5
copulativo	a 0.125 0.375
perdonable	a 0.125 0.0
noroeste	a 0.75 0.0
estilizado	a 1.5 0.0
policristalino	a 0.5 0.0
humilde	a 0.625 4.5
resplandeciente	a 6.375 0.5
desapacible	a 0.125 1.625
agorero	a 0.611 8.264
antedicho	a 0.5 0.75
catalitico	a 0.0 0.375
desafiante	a 0.0 0.25
autotrofico	a 0.5 0.0
axilar	a 0.125 0.375
apatico	a 2.125 5.0
hemimetabolo	a 0.0 1.0
perseguido	a 0.0 0.75
injustificable	a 1.25 2.5
incorrompido	a 0.125 1.125
inmoderado	a 0.125 1.75
continente	a 0.375 0.0
voluntario	a 0.5 0.375
necio	a 1.75 1.5
enfadadizo	a 0.25 0.75
irrebatible	a 0.5 2.25
adherente	a 0.125 0.375
sinergetico	a 0.625 0.125
diploide	a 0.375 0.0
ro�oso	a 1.25 3.375
letargico	a 0.75 0.375
apretado	a 0.5 1.875
safico	a 0.5 0.25
bemol	a 0.0 0.25
pasmado	a 5.125 6.375
entrante	a 0.0 0.375
autoritario	a 3.75 3.75
estridente	a 2.625 8.25
malformado	a 0.875 1.125
cultivable	a 2.5 0.0
somnifero	a 0.0 1.5
declarado	a 3.375 0.75
soplado	a 0.625 0.0
adjunto	a 0.125 2.625
cacofonico	a 0.0 1.25
tumido	a 0.0 2.75
fletado	a 1.125 0.0
decimoseptimo	a 0.75 0.0
razonable	a 7.5 0.25
desprestigiado	a 0.0 2.25
modesto	a 1.75 3.625
artificial	a 0.875 6.5
arbitrable	a 0.625 0.0
indigestible	a 0.0 1.125
perlino	a 0.25 0.375
molido	a 0.5 0.625
alpino	a 1.125 0.0
audaz	a 3.25 0.75
mal	a 1.125 6.75
duodecimal	a 0.0 0.25
provocado	a 0.0 1.0
paternal	a 1.375 0.5
cualificado	a 3.25 0.125
intervenido	a 0.0 0.125
melancolico	a 0.0 6.875
obtenible	a 3.0 0.0
desapercibido	a 0.25 3.625
admisible	a 0.625 1.0
artistico	a 3.375 0.125
amoral	a 0.125 2.5
soportador	a 1.125 0.0
anuro	a 1.125 1.25
designativo	a 0.25 0.0
sobrio	a 4.125 2.125
gloton	a 0.125 1.375
coextensivo	a 0.25 0.75
ahorquillado	a 0.0 2.875
bruno	a 0.0 0.625
oblicuo	a 0.75 2.875
nauseoso	a 0.25 4.25
10	a 0.375 0.375
fatalista	a 1.0 0.25
hipnotizado	a 0.875 0.0
tropico	a 0.0 1.0
verboso	a 0.125 1.5
oleaginoso	a 0.0 2.25
parpadeante	a 0.5 0.0
connatural	a 0.125 0.375
gasificado	a 0.0 1.125
albinotico	a 0.0 2.0
profundo	a 3.5 2.625
equipotencial	a 0.25 0.0
insulso	a 3.125 4.125
subsonico	a 0.5 0.125
descremado	a 0.0 1.0
intimidado	a 0.5 1.125
coaxial	a 0.0 1.0
marginado	a 0.0 1.75
biliario	a 0.0 1.5
torcido	a 3.0 8.625
inmenso	a 0.875 0.25
noveno	a 0.75 0.0
entorpecedor	a 1.0 0.5
etiolado	a 0.125 0.75
contrariado	a 0.125 2.75
dorsal	a 0.125 0.125
corrompido	a 0.5 5.125
placentero	a 3.0 0.75
desaprobativo	a 0.0 1.5
tragicomico	a 1.0 0.25
futurista	a 0.25 0.25
asfixiante	a 0.625 1.5
partitivo	a 0.125 0.125
marchito	a 2.0 1.875
giroscopico	a 0.375 0.0
mesofilo	a 0.125 0.25
plutoniano	a 0.0 3.0
revoltoso	a 0.0 3.375
mesonico	a 0.625 0.375
carminativo	a 0.625 0.0
plebeyo	a 0.5 2.0
antagonista	a 0.25 2.0
marimacho	a 0.5 0.375
popular	a 0.375 1.0
fricativo	a 0.0 1.5
parlanchin	a 1.5 4.0
precintado	a 0.0 0.5
apelante	a 0.25 2.0
precario	a 0.0 1.0
patente	a 3.0 0.25
conmensurable	a 0.125 0.125
diagonalizable	a 0.625 0.0
milagroso	a 2.0 0.75
tonico	a 5.125 1.5
perenne	a 2.125 1.0
proteico	a 0.0 0.25
sazonado	a 0.5 0.0
espinoso	a 0.375 6.875
septico	a 0.0 0.625
obligado	a 0.625 0.25
ecuatorial	a 0.0 0.125
rotado	a 0.0 0.5
casto	a 1.625 0.125
pedante	a 1.0 0.625
antipatico	a 1.75 9.375
criado	a 1.0 0.0
blanquecino	a 0.5 0.25
intralobular	a 0.125 0.0
gubernamental	a 0.0 0.125
travieso	a 0.0 4.625
maravilloso	a 9.125 1.875
exultante	a 2.625 3.25
entretenido	a 3.125 0.625
desvergonzado	a 0.875 3.375
verosimil	a 3.125 0.375
xix	a 0.375 0.25
inasequible	a 1.0 3.125
aliaceo	a 0.0 0.375
inequivoco	a 1.625 0.75
antipiretico	a 0.5 0.0
mastodontico	a 1.5 0.0
acongojado	a 0.0 2.5
labrantio	a 2.5 0.0
heterodoxo	a 0.375 0.0
majareta	a 1.5 8.875
antediluviano	a 0.625 1.5
monacal	a 0.25 0.5
incierto	a 1.625 3.25
trivial	a 1.625 5.125
interior	a 5.125 1.625
saciable	a 0.0 0.25
liado	a 0.375 0.125
sustituible	a 1.625 0.125
montado	a 1.0 0.25
bigemino	a 0.125 0.0
opalino	a 2.125 0.5
banal	a 0.375 1.0
terreno	a 0.25 0.0
mortificado	a 0.0 1.5
testaduro	a 0.0 0.25
embarazoso	a 0.0 1.375
metamorfico	a 0.875 0.0
recursivo	a 0.0 0.125
adiestrado	a 0.25 0.0
esquivo	a 0.375 3.375
innombrable	a 0.0 0.375
caduco	a 0.125 0.0
afrutado	a 0.0 0.375
defendible	a 1.25 0.0
dificultoso	a 0.25 2.625
asqueroso	a 2.5 22.625
aritmetico	a 0.0 0.25
consecuente	a 1.875 1.5
paliativo	a 0.0 3.75
subordinado	a 0.25 2.125
subrepticio	a 2.75 0.375
subsiguiente	a 1.0 0.75
aristocratico	a 2.5 1.0
detersivo	a 1.0 0.0
ascendente	a 0.75 0.75
denigrador	a 0.0 7.875
ocre	a 0.625 0.0
semidesnudo	a 0.125 0.0
digestivo	a 0.0 0.5
rodeado	a 0.125 0.125
bastardo	a 0.125 5.0
decimal	a 0.5 0.0
limoso	a 0.0 1.0
cooperativo	a 1.0 0.0
representada	a 0.25 0.0
remoto	a 1.5 0.25
puro	a 5.0 2.5
hirviente	a 0.125 1.25
lloron	a 0.125 0.5
cuadragesimo	a 0.75 0.0
amueblado	a 0.625 0.125
impulsor	a 0.25 0.625
excitado	a 2.125 3.0
funcional	a 3.25 0.0
xvi	a 0.0 0.375
superrealista	a 1.0 1.625
esplendido	a 13.125 0.625
policromatico	a 1.5 0.0
cuidado	a 0.5 0.5
xxiv	a 0.375 0.125
afiliado	a 0.25 0.625
adsorbente	a 0.0 0.5
preexistente	a 0.0 0.75
amarantino	a 0.0 0.25
desahogado	a 0.0 0.75
cano	a 2.25 0.5
hondo	a 0.375 0.0
caudado	a 0.375 0.25
inexpresivo	a 1.5 1.5
filmado	a 0.5 0.0
moribundo	a 0.0 1.0
quimico	a 0.25 0.75
dilatorio	a 0.375 0.375
albo	a 0.25 0.625
risue�o	a 6.0 1.625
imperial	a 2.75 0.0
ovoide	a 1.125 0.75
inadaptable	a 0.0 0.125
sensacionalista	a 0.0 0.75
conspecifico	a 0.0 0.125
sagital	a 0.5 0.125
cruciforme	a 0.25 0.0
literal	a 0.375 0.875
lloricoso	a 0.375 1.0
confuso	a 4.125 14.125
vistoso	a 0.25 0.0
agarrado	a 0.125 1.5
inadmisible	a 0.875 3.875
poseso	a 1.0 1.875
combinacional	a 0.0 1.125
embastecido	a 0.25 0.5
reconocible	a 2.375 0.0
inmezclable	a 0.0 0.5
sucedaneo	a 0.0 1.75
descrito	a 0.5 0.0
escatologico	a 0.0 0.5
antideslizante	a 0.0 0.5
hinchado	a 2.375 7.75
jubilado	a 0.0 1.375
caracteristico	a 0.625 0.5
adrenocorticotropico	a 0.75 0.25
chalado	a 1.5 9.25
ondulado	a 1.0 3.625
destinado	a 0.25 0.25
bicefalo	a 0.75 0.0
convulsivo	a 0.0 2.625
asimilador	a 0.0 2.25
invocado	a 0.0 1.25
plateado	a 1.0 0.5
gutural	a 0.0 1.875
desastroso	a 0.375 2.0
contradictorio	a 1.75 6.875
pintoresco	a 3.625 0.0
nacional	a 1.75 0.0
paradisiaco	a 2.125 0.0
estrellado	a 0.0 0.375
disciplinado	a 0.25 0.25
depilado	a 0.125 0.375
cobarde	a 0.625 4.75
marinero	a 1.125 0.0
racimado	a 0.5 0.0
unidimensional	a 0.25 0.0
ciego	a 3.0 9.0
capital	a 4.125 0.0
desplumado	a 0.0 0.625
impreciso	a 2.875 6.5
intercambiable	a 2.5 0.5
pueril	a 1.875 1.5
aptero	a 0.0 0.625
estremecedor	a 0.0 5.0
planoconvexo	a 0.0 0.125
mordido	a 0.0 0.625
amarillento	a 0.0 1.25
bulboso	a 0.25 1.625
algun	a 0.0 0.125
bello	a 3.625 0.0
perspicaz	a 8.25 3.375
invasor	a 0.0 3.0
nimio	a 1.375 2.375
duplex	a 0.125 0.0
bendecidor	a 0.0 0.75
estroso	a 0.0 0.25
rectificado	a 0.0 0.625
toriado	a 0.25 0.0
aparente	a 0.75 0.5
rancio	a 0.75 5.25
emotivo	a 4.875 3.125
enredado	a 0.75 2.5
ritenuto	a 0.0 1.0
cismontano	a 0.375 0.125
patricio	a 0.5 0.0
exportable	a 0.75 0.0
morbifico	a 1.125 0.375
sulfurado	a 0.0 5.625
combinador	a 0.0 0.75
extensible	a 1.0 0.0
dividido	a 0.125 0.5
protestante	a 0.0 0.75
territorial	a 0.375 0.0
hiperactivo	a 0.5 0.0
alerta	a 0.625 0.5
inmediato	a 2.875 0.375
predominante	a 1.125 0.5
contaminado	a 0.0 3.625
infame	a 0.944 5.6809998
prohibitivo	a 0.5 0.75
crudo	a 1.5 5.875
pensable	a 0.5 0.0
100	a 0.375 0.25
agorafobico	a 0.0 0.75
abochornado	a 1.0 3.75
deshecho	a 0.0 2.125
carca	a 0.5 0.5
extensional	a 0.25 0.0
fitofago	a 0.375 0.0
abstraido	a 0.625 0.125
izquierdista	a 1.125 0.5
inexplorado	a 0.25 2.0
amotinado	a 0.0 0.5
madurado	a 0.125 0.0
ventrudo	a 0.125 2.0
amarillo	a 0.0 1.0
mortal	a 0.375 4.25
subalimentado	a 0.0 0.75
regresivo	a 0.0 1.0
agil	a 2.625 0.0
celiaco	a 0.25 0.5
instruido	a 2.375 0.0
indistinguible	a 0.25 2.125
inhospito	a 0.0 3.0
provechoso	a 5.75 0.0
diseminado	a 0.625 0.875
feculento	a 0.375 0.0
benevolente	a 4.0 0.0
recusante	a 0.0 1.125
inflamado	a 0.375 1.375
inconquistable	a 0.125 1.25
ensordecido	a 0.0 0.5
previsor	a 1.25 0.0
omnipotente	a 0.25 0.0
anarquista	a 0.125 1.25
enderezado	a 0.875 1.125
distanciado	a 0.25 1.125
numerable	a 2.0 0.0
expandido	a 0.25 0.0
previo	a 0.375 1.0
gafe	a 0.0 1.5
agregado	a 1.125 0.125
perplejo	a 0.0 3.25
sustractivo	a 0.25 0.0
escurridizo	a 0.125 0.875
unificador	a 0.625 1.0
encarnado	a 3.75 3.0
acarpelo	a 0.0 1.25
miasmico	a 0.0 0.75
carnal	a 0.875 0.5
pensativo	a 4.166 1.334
carbociclico	a 0.125 0.0
superabundante	a 0.125 0.5
hipotetico	a 1.375 0.25
anginoso	a 0.0 1.5
raquitico	a 3.5 4.125
uninomial	a 0.0 0.125
verificador	a 12.5 0.0
contraproducente	a 0.125 1.5
bimanual	a 0.125 0.0
enervador	a 0.0 2.75
digestible	a 0.375 0.0
desagradable	a 4.1940002 23.681
subido	a 0.75 0.0
agravado	a 0.0 1.0
silencioso	a 3.875 1.375
moderador	a 0.125 1.375
teorico	a 0.375 0.0
prismatico	a 0.125 0.0
diferenciable	a 0.75 0.0
oficioso	a 0.0 0.75
honorifico	a 1.625 0.125
incuestionable	a 4.0 5.25
sobreprotector	a 0.0 0.125
desasistido	a 0.0 0.25
deste�ido	a 0.375 1.125
acido	a 2.375 7.375
reducible	a 0.625 0.0
marron	a 0.0 0.625
anguloso	a 0.75 0.0
abusado	a 0.0 0.625
excepcional	a 5.75 1.625
trimotorizado	a 0.125 0.0
acre	a 2.75 7.125
acogedor	a 6.125 0.375
malva	a 0.5 0.0
pianistico	a 0.375 0.0
